League,Season,Team,Sequence,n,n1,n2,k,k1,k2,c1,c2,c3,n1*,c1*,n2*,c2*
La_Liga,2018,Valencia,"[0, 1, 0, 1, 1, 0, 1, 0, 1, 1, 1, 1, 1, 1, 0, 1, 1, 0, 0, 1, 1, 1]",22,11,11,15,7,8,1.3663099167021695,1.4783505468574414,1.218026796589525,5.0,3.0534710058214753,5.0,3.0534710058214753
La_Liga,2018,Valladolid,"[0, 0, 1, 1, 1, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 1, 1, 0]",27,14,13,10,6,4,2.2799905565484173,3.8777810582059935,2.538071065989848,1.0,4.603370271892037,1.0,4.603370271892037
La_Liga,2018,Vallecano,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0]",30,15,15,8,5,3,2.483075374391316,4.890437785730043,2.808988764044944,14.0,13.206064634988218,14.0,13.206064634988218
La_Liga,2018,Villarreal,"[0, 0, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 1, 1, 0, 0, 1, 1, 1, 0, 1]",24,12,12,10,3,7,1.07831695472985,1.0513533321374784,1.0224948875255624,2.0,1.6706185221303431,2.0,1.6706185221303431
La_Liga,2019,Alaves,"[1, 0, 0, 0, 1, 0, 1, 0, 0, 1, 1, 0, 0, 0, 1, 0, 1, 0, 1, 0, 1, 0, 0, 0]",24,12,12,9,5,4,1.959695448859976,2.970488289473696,2.0202020202020203,3.0,13.201843639208805,3.0,13.201843639208805
La_Liga,2019,Ath Bilbao,"[1, 1, 1, 0, 0, 0, 1, 1, 1, 1, 0, 0, 0, 0, 0, 1, 1, 1, 0, 1]",20,10,10,11,7,4,3.8231750823624497,11.26571093720506,5.847953216374269,10.0,11.26571093720506,10.0,11.26571093720506
La_Liga,2019,Ath Madrid,"[1, 1, 1, 0, 1, 1, 1, 0, 1, 1, 1, 0, 0, 1, 1, 1, 1, 1, 1]",19,10,9,15,8,7,1.6808377645022266,2.2085655161819835,1.51285930408472,8.0,2.7820134186285466,8.0,2.7820134186285466
La_Liga,2019,Barcelona,"[0, 1, 1, 0, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 0, 1, 1, 1, 1]",26,13,13,21,10,11,1.342214482563256,1.447970710595449,1.1750881316098707,10.0,2.1338170246590233,10.0,2.1338170246590233
La_Liga,2019,Betis,"[0, 0, 1, 1, 0, 0, 0, 1, 0, 1, 1, 1, 0, 1, 0, 0, 0, 1, 0, 0, 1, 0]",22,11,11,9,5,4,1.969642822255588,3.0095199846121163,1.919385796545105,8.0,7.9596258264052935,8.0,7.9596258264052935
La_Liga,2019,Celta,"[0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 0, 1, 1, 0]",20,10,10,7,2,5,1.1048918958205982,1.086719653733776,1.038421599169263,1.0,4.429358304916707,1.0,4.429358304916707
La_Liga,2019,Eibar,"[0, 0, 0, 1, 1, 0, 0, 1, 1, 0, 0, 0, 0, 1, 0, 1, 0, 0, 1, 0, 0, 0, 1, 1]",24,12,12,9,4,5,1.3715906325853804,1.507488425758213,1.2484394506866416,8.0,2.0,8.0,2.0
La_Liga,2019,Espanol,"[0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 1, 0, 0, 0]",23,12,11,5,2,3,1.2525848555995316,1.3678877196871455,1.1655011655011656,3.0,6.104872849528978,3.0,6.104872849528978
La_Liga,2019,Getafe,"[0, 1, 0, 1, 1, 0, 1, 1, 1, 1, 1, 0, 0, 1, 1, 1, 1, 0, 0, 1, 0, 1]",22,11,11,14,8,6,2.718676843417778,5.327662064543004,2.857142857142857,5.0,9.463173148122381,5.0,9.463173148122381
La_Liga,2019,Granada,"[0, 1, 1, 1, 1, 0, 1, 1, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 1, 0, 1, 1, 1, 0, 0]",25,13,12,12,7,5,2.261000651366145,3.686354390433831,2.3094688221709005,2.0,12.77083875968392,2.0,12.77083875968392
La_Liga,2019,Leganes,"[0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 1, 0, 1, 0, 0, 1, 0, 0, 0, 0]",23,12,11,5,1,4,1.0742600079617266,1.0545867185466888,1.0141987829614605,4.0,8.125160122327404,4.0,8.125160122327404
La_Liga,2019,Levante,"[0, 1, 1, 0, 0, 1, 0, 0, 1, 1, 0, 1, 0, 0, 1, 1, 0, 0, 0, 0, 1, 0, 1, 0, 1, 0, 1]",27,14,13,12,6,6,1.5175105332061891,1.759386916159739,1.455604075691412,11.0,4.136315932608723,11.0,4.136315932608723
La_Liga,2019,Mallorca,"[1, 0, 0, 0, 0, 0, 1, 1, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 1]",28,14,14,8,4,4,1.5855812118384875,2.0,1.5037593984962403,5.0,3.1264494824263567,5.0,3.1264494824263567
La_Liga,2019,Osasuna,"[1, 0, 1, 0, 1, 1, 0, 1, 0, 0, 1, 0, 0, 1, 0, 0, 1, 0, 0, 1, 1]",21,11,10,10,6,4,2.289592941803353,3.959960951529355,2.4038461538461537,10.0,3.959960951529355,10.0,3.959960951529355
La_Liga,2019,Real Madrid,"[1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 0, 1, 1, 1, 1, 1]",24,12,12,21,11,10,2.206063696480768,3.7237431069311215,1.845018450184502,8.0,10.50253231719744,8.0,10.50253231719744
La_Liga,2019,Sevilla,"[1, 1, 1, 0, 0, 1, 0, 1, 1, 1, 1, 1, 0, 1, 0, 1, 0, 1, 1, 1, 1]",21,11,10,15,8,7,1.7294266340001494,2.246922950710477,1.6207455429497568,9.0,2.9598678239039473,9.0,2.9598678239039473
La_Liga,2019,Sociedad,"[1, 0, 1, 1, 1, 0, 0, 1, 1, 0, 1, 0, 1, 1, 0, 0, 1, 0, 1, 1, 1, 0, 1, 0, 0, 0, 0]",27,14,13,14,9,5,4.068661615511714,11.133362611814682,6.172839506172839,4.0,81.53715640163713,4.0,81.53715640163713
