,League,Season,Team,Sequence,n,n1,n2,k,k1,k2,Team_Name,c2,c3
57,Bundesliga,2003,Ein Frankfurt,"[0, 0, 1, 0, 0, 3, 1, 0, 0, 1, 3, 1, 3, 0, 3, 0, 0, 0, 0, 0, 3]",21,11,10,19,9,10,2003 Ein Frankfurt,1.4292244639474831,1.4492753623188406
58,Bundesliga,2003,FC Koln,"[0, 0, 0, 0, 1, 3, 0, 0, 1, 1, 3, 3, 0, 0, 0, 0, 0, 1, 0, 3, 0, 0, 0]",23,12,11,16,12,4,2003 FC Koln,54.02466147458757,7.936507936507937
59,Bundesliga,2003,Freiburg,"[0, 1, 3, 0, 3, 0, 0, 0, 3, 0, 0, 3, 0, 0, 3, 0, 1, 1, 3, 1, 0, 0, 0]",23,12,11,22,13,9,2003 Freiburg,4.637003433988573,2.8328611898016995
60,Bundesliga,2003,Hamburg,"[0, 1, 3, 1, 3, 0, 1, 1, 3, 3, 0, 1, 3, 0, 3, 0, 3, 0, 0, 3, 3]",21,11,10,32,16,16,2003 Hamburg,1.5392265575008786,1.6286644951140066
61,Bundesliga,2003,Hannover,"[3, 1, 3, 0, 0, 0, 1, 3, 1, 0, 1, 3, 0, 0, 0, 0, 1, 1, 3, 3, 1, 0]",22,11,11,25,13,12,2003 Hannover,2.5009788050270045,2.028397565922921
62,Bundesliga,2003,Hansa Rostock,"[0, 1, 0, 0, 0, 0, 0, 1, 3, 1, 0, 0, 3, 1, 3, 1, 0, 3, 1, 0, 0, 3, 0]",23,12,11,21,6,15,2003 Hansa Rostock,1.0047375282276827,1.0224948875255624
63,Bundesliga,2003,Hertha,"[0, 1, 0, 0, 3, 1, 0, 0, 3, 3, 3, 1, 0, 1, 0, 1, 3, 1, 3]",19,10,9,24,11,13,2003 Hertha,1.2350930396447604,1.3157894736842106
64,Bundesliga,2003,Kaiserslautern,"[0, 3, 3, 3, 0, 3, 0, 0, 0, 1, 0, 3, 0, 3, 3, 1, 0, 0, 0, 3, 0]",21,11,10,26,13,13,2003 Kaiserslautern,1.6014012271267148,1.4598540145985401
65,Bundesliga,2003,Leverkusen,"[3, 3, 3, 3, 3, 1, 0, 3, 0, 0, 0, 0, 3, 3, 3, 1, 3, 3, 3, 3]",20,10,10,41,19,22,2003 Leverkusen,1.253980831100982,1.2853470437017995
66,Bundesliga,2003,MGladbach,"[3, 0, 1, 0, 1, 0, 1, 0, 3, 3, 0, 0, 0, 3, 0, 3, 0, 1, 3, 1, 0, 3]",22,11,11,26,12,14,2003 MGladbach,1.4433969801560946,1.4749262536873156
67,Bundesliga,2003,Munich 1860,"[3, 1, 0, 0, 0, 3, 1, 3, 0, 1, 0, 3, 1, 3, 0, 0, 1, 3, 0, 0, 0, 0, 0]",23,12,11,23,15,8,2003 Munich 1860,15.98714608295594,5.128205128205129
68,Bundesliga,2003,Schalke 04,"[1, 1, 0, 1, 3, 0, 1, 3, 3, 3, 1, 3, 1, 3, 1, 3, 0, 1, 3, 3, 0, 0, 0, 1]",24,12,12,36,20,16,2003 Schalke 04,5.784048174474526,3.3112582781456954
69,Bundesliga,2003,Stuttgart,"[3, 3, 3, 1, 3, 3, 3, 1, 0, 0, 3, 0, 1, 3, 3, 1, 1, 3, 3, 3, 3, 0]",22,11,11,44,23,21,2003 Stuttgart,3.324975815763533,2.2675736961451247
